latitude,longitude,floorSize,url,price
40.718128,-73.774206,"1,776",https://www.zillow.com/homedetails/8714-Santiago-St-Jamaica-NY-11423/32145918_zpid/,"$949,000"
40.697865,-73.910632,"2,718",https://www.zillow.com/homedetails/1399-Madison-St-Brooklyn-NY-11237/30628083_zpid/,"$1,750,000"
40.624268,-74.025706,"2,048",https://www.zillow.com/homedetails/461-83rd-St-Brooklyn-NY-11209/30698599_zpid/,"$1,599,000"
40.698597,-73.923883,500,https://www.zillow.com/homedetails/129-Stockholm-St-1F-Brooklyn-NY-11221/320253126_zpid/,"$485,000"
40.726982,-74.00164,500,https://www.zillow.com/homedetails/145-Sullivan-St-APT-1B-New-York-NY-10012/72512171_zpid/,"$560,000"
40.774274,-73.951729,"2,800",https://www.zillow.com/homedetails/350-E-82nd-St-APT-14A-New-York-NY-10028/80012979_zpid/,"$4,500,000"
40.665264,-73.977566,"3,000",https://www.zillow.com/homedetails/553-9th-St-Brooklyn-NY-11215/30587918_zpid/,"$3,350,000"
40.730499,-73.988098,400,https://www.zillow.com/homedetails/111-E-10th-St-APT-2-New-York-NY-10003/2077945516_zpid/,"$790,000"
40.698501,-73.991996,,https://www.zillow.com/homedetails/75-Henry-St-27CB-Brooklyn-NY-11201/2071332528_zpid/,"$2,400,000"
40.701963,-73.886974,"2,280",https://www.zillow.com/homedetails/71-40-67th-St-Ridgewood-NY-11385/2070997009_zpid/,"$945,000"
40.780308,-73.958237,"1,240",https://www.zillow.com/homedetails/64-E-86th-St-APT-4C-New-York-NY-10028/72530681_zpid/,"$1,695,000"
40.760284,-73.995391,400,https://www.zillow.com/homedetails/500-W-43rd-St-APT-20D-New-York-NY-10036/31516684_zpid/,"$589,000"
40.802121,-73.942921,900,https://www.zillow.com/homedetails/1831-Madison-Ave-APT-5D-New-York-NY-10035/244849244_zpid/,"$685,000"
40.739484,-73.980315,900,https://www.zillow.com/homedetails/245-E-25th-St-APT-4B-New-York-NY-10010/72518300_zpid/,"$940,000"
40.796555,-73.969896,700,https://www.zillow.com/homedetails/233-W-99th-St-APT-21B-New-York-NY-10025/89826411_zpid/,"$949,000"
40.746862,-73.99189,900,https://www.zillow.com/homedetails/131-W-28th-St-APT-6A-New-York-NY-10001/72515930_zpid/,"$1,375,000"
40.767004,-73.934054,460,https://www.zillow.com/homedetails/12-15-Broadway-624-Astoria-NY-11106/2071185239_zpid/,"$414,000"
40.702114,-73.984531,920,https://www.zillow.com/homedetails/79-Bridge-St-APT-3A-Brooklyn-NY-11201/63264083_zpid/,"$1,100,000"
40.802101,-73.948799,,https://www.zillow.com/homedetails/130-Lenox-Ave-APT-206-New-York-NY-10026/2114086343_zpid/,"$575,000"
40.672308,-73.986365,922,https://www.zillow.com/homedetails/270-5th-St-APT-2G-Brooklyn-NY-11215/112330959_zpid/,"$995,000"
40.76596,-73.959929,,https://www.zillow.com/homedetails/315-E-68th-St-APT-13J-New-York-NY-10065/94684810_zpid/,"$698,000"
40.801031,-73.948337,830,https://www.zillow.com/homedetails/40-W-116th-St-APT-A916-New-York-NY-10026/97502385_zpid/,"$1,000,000"
40.722508,-73.947661,,https://www.zillow.com/homedetails/247-Driggs-Ave-4A-Brooklyn-NY-11222/300076929_zpid/,"$849,000"
40.793399,-73.973503,"2,100",https://www.zillow.com/homedetails/250-W-94th-St-4A-New-York-NY-10025/2080347024_zpid/,"$2,950,000"
40.834394,-73.948128,"1,711",https://www.zillow.com/homedetails/779-Riverside-Dr-APT-A62-New-York-NY-10032/89333224_zpid/,"$1,390,000"
40.792084,-73.969125,970,https://www.zillow.com/homedetails/111-W-94th-St-APT-1B-New-York-NY-10025/2071054501_zpid/,"$765,000"
40.774274,-73.951729,"1,890",https://www.zillow.com/homedetails/350-E-82nd-St-APT-16D-New-York-NY-10028/80012046_zpid/,"$2,995,000"
40.671579,-73.956425,"4,300",https://www.zillow.com/homedetails/19-Saint-Francis-Pl-Brooklyn-NY-11216/30592680_zpid/,"$2,850,000"
40.648799,-73.979698,725,https://www.zillow.com/homedetails/112-E-2nd-St-4L-Brooklyn-NY-11218/2070984656_zpid/,"$599,000"
40.705428,-73.919591,"4,000",https://www.zillow.com/homedetails/995-Hart-St-Brooklyn-NY-11237/30625533_zpid/,"$1,899,000"
40.776261,-73.95456,"12,500",https://www.zillow.com/homedetails/222-E-83rd-St-222-New-York-NY-10028/2072411847_zpid/,"$12,799,000"
40.694479,-73.966413,"1,780",https://www.zillow.com/homedetails/112-Hall-St-Brooklyn-NY-11205/30611800_zpid/,"$1,899,000"
40.768208,-73.959663,"51,270",https://www.zillow.com/homedetails/230-E-71st-St-APT-4E-New-York-NY-10021/244820081_zpid/,"$575,000"
40.76102,-73.971376,"3,576",https://www.zillow.com/homedetails/432-Park-Ave-APT-52C-New-York-NY-10022/219674316_zpid/,"$20,150,000"
40.723098,-74.011199,"1,906",https://www.zillow.com/homedetails/70-Vestry-St-UNIT-5C-New-York-NY-10013/2071102500_zpid/,"$8,950,000"
40.79523,-73.972059,933,https://www.zillow.com/homedetails/275-W-96th-St-APT-21B-New-York-NY-10025/31550685_zpid/,"$1,450,000"
40.732052,-74.009216,"1,066",https://www.zillow.com/homedetails/130-Barrow-St-APT-418-New-York-NY-10014/31499804_zpid/,"$1,595,000"
40.7779,-73.986801,"1,821",https://www.zillow.com/homedetails/185-W-End-Ave-19AB-New-York-NY-10023/2071673584_zpid/,"$2,495,000"
40.7187,-73.958,756,https://www.zillow.com/homedetails/144-N-8th-St-APT-10C-Brooklyn-NY-11249/2071934955_zpid/,"$1,175,000"
40.79145,-73.976177,"1,200",https://www.zillow.com/homedetails/617-W-End-Ave-15A-New-York-NY-10024/244888853_zpid/,"$1,695,000"
40.718128,-73.774206,"1,776",https://www.zillow.com/homedetails/8714-Santiago-St-Jamaica-NY-11423/32145918_zpid/,"$949,000"
40.697865,-73.910632,"2,718",https://www.zillow.com/homedetails/1399-Madison-St-Brooklyn-NY-11237/30628083_zpid/,"$1,750,000"
40.624268,-74.025706,"2,048",https://www.zillow.com/homedetails/461-83rd-St-Brooklyn-NY-11209/30698599_zpid/,"$1,599,000"
40.698597,-73.923883,500,https://www.zillow.com/homedetails/129-Stockholm-St-1F-Brooklyn-NY-11221/320253126_zpid/,"$485,000"
40.726982,-74.00164,500,https://www.zillow.com/homedetails/145-Sullivan-St-APT-1B-New-York-NY-10012/72512171_zpid/,"$560,000"
40.774274,-73.951729,"2,800",https://www.zillow.com/homedetails/350-E-82nd-St-APT-14A-New-York-NY-10028/80012979_zpid/,"$4,500,000"
40.665264,-73.977566,"3,000",https://www.zillow.com/homedetails/553-9th-St-Brooklyn-NY-11215/30587918_zpid/,"$3,350,000"
40.730499,-73.988098,400,https://www.zillow.com/homedetails/111-E-10th-St-APT-2-New-York-NY-10003/2077945516_zpid/,"$790,000"
40.698501,-73.991996,,https://www.zillow.com/homedetails/75-Henry-St-27CB-Brooklyn-NY-11201/2071332528_zpid/,"$2,400,000"
40.701963,-73.886974,"2,280",https://www.zillow.com/homedetails/71-40-67th-St-Ridgewood-NY-11385/2070997009_zpid/,"$945,000"
40.780308,-73.958237,"1,240",https://www.zillow.com/homedetails/64-E-86th-St-APT-4C-New-York-NY-10028/72530681_zpid/,"$1,695,000"
40.760284,-73.995391,400,https://www.zillow.com/homedetails/500-W-43rd-St-APT-20D-New-York-NY-10036/31516684_zpid/,"$589,000"
40.802121,-73.942921,900,https://www.zillow.com/homedetails/1831-Madison-Ave-APT-5D-New-York-NY-10035/244849244_zpid/,"$685,000"
40.739484,-73.980315,900,https://www.zillow.com/homedetails/245-E-25th-St-APT-4B-New-York-NY-10010/72518300_zpid/,"$940,000"
40.796555,-73.969896,700,https://www.zillow.com/homedetails/233-W-99th-St-APT-21B-New-York-NY-10025/89826411_zpid/,"$949,000"
40.746862,-73.99189,900,https://www.zillow.com/homedetails/131-W-28th-St-APT-6A-New-York-NY-10001/72515930_zpid/,"$1,375,000"
40.767004,-73.934054,460,https://www.zillow.com/homedetails/12-15-Broadway-624-Astoria-NY-11106/2071185239_zpid/,"$414,000"
